Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Thulladha Manamum Thullum,1999,8.3,5.9K,"1,36,993","['Joseph Vijay', 'Simran', 'Dhamu', 'Vaiyapuri', 'Madhan Bob', 'Ponnambalam', 'Paari Venkat', 'Anoop Aravindan', 'Manivannan']",Ezhil,"Kutty is a good-hearted soul, but unfortunate incidents tend to portray his ruffian side whenever he encounters the girl he loves. A bizarre incident brings them closer and yet keeps them apart."
Dasvidaniya,2008,7.8,6.4K,"46,085","['Vinay Pathak', 'Sarita Joshi', 'Rajat Kapoor', 'Saurabh Shukla', 'Neha Dhupia', 'Joy Fernandes', 'Manoylo Svitlana', 'Gaurav Gera', 'Suchitra Pillai', 'Purbi Joshi', 'Brijendra Kala', 'Ikhlaque Khan', 'Sachin Khurana', 'Chandan Bisht', 'Kishore Nandlaskar', 'Suresh Menon', 'Ranvir Shorey', 'Gargi Datar']",Shashant Shah,"A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die."
Aayirathil Oruvan,2010,8,6.2K,"21,371","['Karthi', 'Reema Sen', 'Andrea Jeremiah', 'Parthiban Radhakrishnan', 'Azhagam Perumal', 'Prathap Pothen']",K. Selvaraghavan,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty."
Poove Unakkaga,1996,8.6,6.5K,"1,04,724","['Joseph Vijay', 'Sangeetha', 'Anju Aravind', 'Madhan Bob', 'Charlie', 'Jai Ganesh', 'Hemalatha', 'Sheela Kaur', 'Murali', 'Meesai Murugesan', 'Nagesh', 'M.N. Nambiar', 'Varalakshmi P.R.', 'R.S. Shivaji', 'Singamuthu', 'Sukumari', 'Malaysia Vasudevan', 'C.R. Vijayakumari']",Vikraman,"When a man realizes that the Hindu woman he loves is in love with a Christian man, he decides to sacrifice his love and unite their families so as to make the love story a success."
Kai Po Che,2013,7.7,37K,"20,304","['Amit Sadh', 'Sushant Singh Rajput', 'Rajkummar Rao', 'Amrita Puri', 'Digvijay Deshmukh', 'Asif Basra', 'Manav Kaul', 'Ashish Kakkad', 'Muni Jha', 'Morli Patel', 'Amitabh Srivastava', 'Bina Shah', 'Backagaindancer', 'Alok Gagdekar', 'Irfan Khan', 'Sujeet Kumar Sharma', 'Deependra Singh', 'Tahir Raj Bhasin']",Abhishek Kapoor,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
Joji,2021,7.8,9.7K,"9,991","['Fahadh Faasil', 'Basil Joseph', 'Dileesh Pothan', 'Madhusoodhanan', 'Unnimaya Prasad', 'Shammi Thilakan', 'Baburaj', 'Pn Sunny', 'Alex Alister', 'Joji Mundakayam', 'Aby Thomas Iritty', 'Cyriac Mathew', 'Isaac Kg', 'Jayesh Thamban', 'Santhosh Shilpkala', 'Yuvan Kiran', 'Dhaneesh Balan', 'Omana Pothen']",Dileesh Pothan,"Joji, an engineering dropout and the youngest son of a rich family lives with his aspirations of becoming super wealthy. Driven by greed and blind ambition, he decides to execute his plans following an unexpected event in the family."
Goodachari,2018,7.8,10K,"11,480","['Adivi Sesh', 'Sobhita Dhulipala', 'Jagapathi Babu', 'Prakash Raj', 'Irfan Ahmed Syed', 'Ademi', 'Neelsh Ahankari', 'Ali', 'Ashok', 'Adarsh Babu', 'Harshad Babu', 'Harika Devi Balla', 'Tammareddy Bharadwaja', 'Ramana Bhargava', 'Rohit Chachu', 'Sakshi Chaturvedi', 'Chetan', 'Mohan Chowdary']",Sashi Kiran Tikka,"A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent."
Ko,2011,7.8,5.8K,"57,736","['Jiiva', 'Ajmal Ameer', 'Karthika Nair', 'Piaa Bajpai', 'Prakash Raj', 'Kota Srinivasa Rao', 'Sona Heiden', 'Jagan', 'Pattimandram Raja', 'Achyuth Kumar', 'Bose Venkat', 'Imman Annachi', 'D.R.K. Kiran', 'Kadhal Kannan', 'Kaajal Pasupathi', 'Suriya', 'Karthi', 'Tamannaah Bhatia']",K.V. Anand,"Ashwin, a famous photographer, works with Renuka, an investigative journalist. When one of their colleagues, Saro, gets killed during a political meet, Ashwin and Renuka decide to investigate."
Don,1978,7.7,12K,"41,006","['Amitabh Bachchan', 'Zeenat Aman', 'Pran Sikand', 'Iftekhar', 'Om Shivpuri', 'Satyendra Kapoor', 'Paidi Jairaj', 'Kamal Kapoor', 'Arpana Choudhary', 'Helen', 'M.B. Shetty', 'Mac Mohan', 'Azaad Irani', 'Yusuf Khan', 'Devaraj', 'Jagdish Raj', 'Amar', 'Pinchoo Kapoor']",Chandra Barot,"Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang."
Aligarh,2015,7.8,7.1K,"21,980","['Manoj Bajpayee', 'Rajkummar Rao', 'Ashish Vidyarthi', 'Balaji Gauri', 'Sukhesh Arora', 'Nutan Surya', 'Dilnaz Irani', 'Ishwak Singh', 'Sumit Gulati', 'K.R. Parmeshwar', 'Suman Vaidya', 'Saptrishi Ghosh', 'Eisha Chopra', 'Farrukh Jaffar', 'Sachin Parikh', 'Ansh Pandit', 'Naval Shukla', 'Deependra Singh']",Hansal Mehta,"A gay, linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation."
Ennu Ninte Moideen,2015,8,5.3K,"48,712","['Prithviraj Sukumaran', 'Parvathy Thiruvothu', 'Saikumar', 'Tovino Thomas', 'Lena', 'Sudheer Karamana', 'Bala', 'Shivaji Guruvayoor', 'Sashi Kumar', 'Kalaranjini', 'Devi Ajith', 'Charutha Baiju', 'Indrans', 'Disney James', 'Vijayan Karanthoor', 'Surabhi Lakshmi', 'Majeed', 'Murali Mohan']",R.S. Vimal,"Based on the real-life love story of Moideen and Kanchanamala, which happened in the 1960s in the backdrop of Calicut."
Guru,2007,7.7,24K,"19,455","['Mithun Chakraborty', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan', 'Madhavan', 'Vidya Balan', 'Roshan Seth', 'Anaushka Dantra', 'Mallika Sherawat', 'Sunil Agarwal', 'Murad Ali', 'Ashoi', 'Arya Babbar', 'Arjan Bajwa', 'Mukesh S. Bhatt', 'Dhritiman Chatterjee', 'Ashoi Dantra', 'Rajendra Gupta', 'Antara Hazarika']",Mani Ratnam,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history."
24,2016,7.9,22K,"15,150","['Suriya', 'Samantha Ruth Prabhu', 'Nithya Menen', 'Saranya Ponvannan', 'Ajay', 'Girish Karnad', 'Sathyan', 'Mohan Ram', 'Charlie', 'Appukutty', 'Sudha', 'Natarajan Balakrishnan', 'Mozammel Hoshen Chowdhury', 'Harshavardhan', 'Caroline Koziol', 'Manngala Radhakrishnan', 'Advaith Ramkumar']",Vikram K. Kumar,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son."
Kapoor and Sons,2016,7.7,26K,"11,176","['Rishi Kapoor', 'Rajat Kapoor', 'Ratna Pathak Shah', 'Fawad Khan', 'Sidharth Malhotra', 'Alia Bhatt', 'Anuradha Chandan', 'Vikram Kapadia', 'Anahita Oberoi', 'Aakriti Dobhal', 'Rupa Kamath', 'Pradeep Pradhan', 'Niti Apurva Patel', 'Sukant Goel', 'Aalekh Kapoor', 'Rahul Arjun Adsul', 'Carlos Augusto Tavares Canhisares', 'Elena Roxana Maria Fernandes']",Shakun Batra,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.
Velaiilla Pattadhari,2014,7.8,7.4K,"34,163","['Dhanush', 'Saranya Ponvannan', 'Amala Paul', 'Samuthirakani', 'Vivek', 'Surabhi', 'Cell Murugan', 'Amitash Pradhan', 'Hrishikesh', 'Sriram', 'Meera Krishnan', 'Vignesh Shivan', 'D.R.K. Kiran', 'M.J. Shriram', 'Sanjay Asnani', 'Baba Bhaskar', 'Velraj']",Velraj,A jobless young man gets to redeem himself.
Colour Photo,2020,8.2,5.5K,"25,938","['Suhas', 'Chandini Chowdary', 'Sunil', 'Harsha Chemudu', 'Divya Sripada', 'Aadarsh Balakrishna', 'Sai Krishna Enreddy', 'Dana Abed', 'Srividya Maharshi', 'Srividya', 'Subba Rao Vepada']",Sandeep Raj,A tragic-comedy that is set in the 90s between two different personalities coming from different backgrounds that change their lives in a tale of love.
Rockstar,2011,7.7,44K,"9,274","['Ranbir Kapoor', 'Nargis Fakhri', 'Shammi Kapoor', 'Kumud Mishra', 'Piyush Mishra', 'Shernaz Patel', 'Aditi Rao Hydari', 'Sanjana Sanghi', 'Shikha Jain', 'Jaideep Ahlawat', 'Moufid Aziz', 'Prabhat Singh Bhadauriya', 'Geetika Budhiraja', 'Kim Calera', 'Aakash Dahiya', 'Sushil Dahiya', 'Ranveer Kashyap', 'Teddy Maurya']",Imtiaz Ali,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
