Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Asuran,2019,8.5,27K,"6,334","['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy', 'Pavan', 'Aadukalam Naren', 'Ken Karunas', 'Ammu Abhirami', 'A. Venkatesh', 'Balaji Sakthivel', 'Subramaniam Siva', 'Nitish', 'Velraj', 'Tejeenthan Arunasalam', 'Bala Hasan', 'Munnar Ramesh', 'Sendrayan', 'Adithadi Shivraaj']",Vetrimaaran,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
96,2018,8.5,29K,"6,723","['Vijay Sethupathi', 'Adithya Bhaskar', 'Trisha Krishnan', 'Gouri Kishan', 'Devadarshini Chetan', 'Niyathi Kadambi', 'Janakaraj', 'Bagavathi Perumal', 'Surya', 'Rajkumar', 'Murugadass', 'Gowthamraj', 'Varsha Bollamma', 'Kavithalaya Krishnan', 'Shyam Prasad']",C. Prem Kumar,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
Visaaranai,2015,8.5,11K,"22,404","['Dinesh', 'Samuthirakani', 'Anandhi', 'Murugadass', 'Kishore Kumar G.', 'Misha Ghoshal', 'Raj Pradeesh', 'Ajay Ghosh', 'E. Ramdoss', 'Alwa Vasu', 'Munnar Ramesh', 'Dhaya Senthil', 'Saravana Subbiah', 'Muthukumar', 'Cheran Raj', 'Silambarasan Rathnasamy', 'Mozammel Hoshen Chowdhury', 'Masoud Tosifyan']",Vetrimaaran,Four labourers are tortured by the police to confess to a theft they have not committed.
Pather Panchali,1955,8.3,32K,"7,706","['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi', 'Uma Das Gupta', 'Runki Banerjee', 'Reba Devi', 'Aparna Devi', 'Tulsi Chakraborty', 'Haren Banerjee', 'Rampada Das', 'Nibhanani Devi', 'Rama Gangopadhaya', 'Roma Ganguli', 'Binoy Mukherjee', 'Haridhan Nag', 'Harimohan Nag', 'Kshirod Roy']",Satyajit Ray,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
Thalapathi,1991,8.5,12K,"34,973","['Rajinikanth', 'Mammootty', 'Shobana', 'Arvind Swamy', 'Srividya', 'Bhanupriya', 'Amrish Puri', 'Jai Sankar', 'Geetha', 'Charlie', 'Charu Haasan', 'Thalapathi Dinesh', 'Manoj K. Jayan', 'Nagesh', 'Nirmalamma', 'Sonu Walia']",Mani Ratnam,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.
Natsamrat,2016,8.8,6.6K,"55,557","['Nana Patekar', 'Medha Manjrekar', 'Mrunmayee Deshpande', 'Sunil Barve', 'Vikram Gokhale', 'Ajit Parab', 'Neha Pendse', 'Samir Chandra', 'Nilesh Divekar', 'Jitendra Joshi', 'Shridhar Limaye', 'Savita Malpekar', 'Sandeep Pathak', 'Pooja Sawant', 'Masoud Tosifyan', 'Aniket Vishwasrao', 'Jaywant Wadkar']",Mahesh Manjrekar,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children."
Sarpatta Parambarai,2021,8.6,22K,"13,683","['Arya', 'Pasupathy', 'John Kokken', 'Shabeer Kallarakkal', 'Dushara Vijayan', 'Anupama Kumar', 'Kalaiyarasan', 'Santhosh Prathap', 'John Vijay', 'Priyadarshini Rajkumar', 'G.M. Sundar', 'Vettai Muthukumar', 'Sanchana Natarajan', 'Geetha Kailasam', 'Kaali Venkat', 'Tiger Thangadurai', 'Kishore Kumar G.', 'Abdhul']",Pa. Ranjith,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?"
Drishyam 2,2021,8.4,35K,"15,289","['Mohanlal', 'Meena', 'Ansiba', 'Esther Anil', 'Siddique', 'Asha Sharath', 'Saikumar', 'Murali Gopy', 'Ganesh Kumar', 'Anjali Nair', 'Sumesh Chandran', 'Antony Perumbavoor', 'Dinesh Prabhakar', 'Ajith Koothattukulam', 'Narayanan Nair', 'Santhi Priya', 'Aneesh Menon', 'Boban Samuel']",Jeethu Joseph,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
Thani Oruvan,2015,8.4,20K,"25,815","['Jayam Ravi', 'Arvind Swamy', 'Nayanthara', 'Nassar', 'Ganesh Venkatraman', 'Thambi Ramaiah', 'Mugdha Godse', 'Vamsi Krishna', 'Harish Uthaman', 'Sricharan', 'Rahul Madhav', 'Abhinaya', 'Nagineedu', 'Anil Murali', 'Madhusudhan Rao', 'Saiju Kurup', 'Sanjana Singh', 'V. Jayaprakash']",Mohan Raja,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him."
Sardar Udham,2021,8.5,40K,"5,495","['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar', 'Banita Sandhu', 'Kirsty Averton', 'Andrew Havill', 'Sam Redford', 'Albrecht Zander', 'Tim Berrington', 'Mark Lingwood', 'Simon Weir', 'Tim Hudson', 'Richard Glover', 'Nicholas Gecks', 'Ritesh Shah', 'Jogi Mallang', 'Kuljeet Singh']",Shoojit Sircar,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
Aparajito,1956,8.3,14K,"17,056","['Pinaki Sengupta', 'Smaran Ghosal', 'Kamala Adhikari', 'Lalchand Banerjee', 'Kali Bannerjee', 'Kanu Bannerjee', 'Karuna Bannerjee', 'Panchanan Bhattacharya', 'Debabrata Chakraborty', 'Harendrakumar Chakravarti', 'Hemanta Chatterjee', 'Meenakshi Devi', 'Subodh Ganguli', 'Charuprakash Ghosh', 'Santi Gupta', 'Ajay Mitra', 'Anil Mukherjee', 'Shibnarayan Nag']",Satyajit Ray,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone."
Vada Chennai,2018,8.4,17K,"9,114","['Dhanush', 'Ameer Sultan', 'Radha Ravi', 'Daniel Balaji', 'Kishore Kumar G.', 'Samuthirakani', 'Pavan', 'Andrea Jeremiah', 'Aishwarya Rajesh', 'Subramaniam Siva', 'Vincent Ashokan', 'G. Marimuthu', 'Sai Dheena', 'Hari Krishnan', 'Pavel', 'Suryakanth', 'Sendrayan', 'Saran Shakthi']",Vetrimaaran,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.
Jaane Bhi Do Yaaro,1983,8.3,14K,"44,497","['Naseeruddin Shah', 'Ravi Baswani', 'Bhakti Barve', 'Satish Shah', 'Om Puri', 'Pankaj Kapur', 'Satish Kaushik', 'Neena Gupta', 'Deepak Qazir', 'Rajesh Puri', 'Zafar Sanjari', 'Ashok Banthia', 'Uday Chandra', 'Harshad Gandhi', 'Jaspal Sandhu', 'Anil Chaudhary', 'Ajay Wadhavkar', 'Arun Khanna']",Kundan Shah,"Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light."
Khosla Ka Ghosla!,2006,8.3,24K,"37,254","['Anupam Kher', 'Boman Irani', 'Parvin Dabas', 'Tara Sharma', 'Navin Nischol', 'Kiran Juneja', 'Ranvir Shorey', 'Vinod Nagpal', 'Vinay Pathak', 'Rajendra Sethi', 'Rajesh Sharma', 'Roopam Bajwa', 'Anusha Lal', 'Irfan Mir Sarkh Noor', 'Feroz', 'Pradeep Gupta', 'Narender Chaddha', 'Rajesh Vashisth']",Dibakar Banerjee,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
Vikram,2022,8.5,38K,50,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain', 'Suriya', 'Kalidas Jayaram', 'Chemban Vinod Jose', 'Santhana Bharathi', 'Kumaravel', 'Vasanthi', 'Gayathrie', 'Swathista Krishnan', 'Karthi', 'G. Marimuthu', 'Aruldoss', 'Gowtham Sundararajan', 'Maya S. Krishnan', 'Maheshwari Chanakyan']",Lokesh Kanagaraj,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
Drishyam,2013,8.3,41K,"14,373","['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba', 'Esther Anil', 'Baiju V.K.', 'Kalabhavan Shajohn', 'Siddique', 'Roshan Basheer', 'Neeraj Madhav', 'Pradeep Chandran', 'Kalabhavan Haneef', 'Irshad', 'Koottickal Jayachandran', 'Kunchan', 'Aneesh Menon', 'Shobha Mohan', 'Sreekumar']",Jeethu Joseph,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
Chupke Chupke,1975,8.3,13K,"75,737","['Dharmendra', 'Sharmila Tagore', 'Amitabh Bachchan', 'Jaya Bachchan', 'David Abraham', 'Usha Kiran', 'Lily Chakravarty', 'Keshto Mukherjee', 'Dev Kishan', 'Om Prakash', 'Lalita Kumari', 'Nayana Apte', 'Chaitali', 'Aarti', 'Amol Sen', 'Harish Magon', 'Vishal Desai', 'Masterji']",Hrishikesh Mukherjee,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.
Peranbu,2018,8.7,15K,"43,414","['Mammootty', 'Sadhana', 'Anjali', 'Anjali Ameer', 'Samuthirakani', 'Pavel Navageethan', 'Livingston', 'Vadivukkarasi', 'Aruldoss', 'Shanmugha Rajan', 'Abbas', 'Gr Adithya', 'Anand', 'Anees', 'Lizzie Antony', 'Archana', 'Arianna', 'Arumugam']",Ram,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
Agent Sai Srinivasa Athreya,2019,8.4,13K,"20,586","['Naveen Polishetty', 'Shruti Sharma', 'Krishneswara Rao', 'Suhas', 'Sandeep Raj', 'Ramdutt', 'Shredha Rajagopalan', 'Viswanath Mandalika', 'Prashant', 'Darbha Appaji Ambarisha', 'Vinu Varma', 'Lavanya', 'Mahija', 'Rithiwik', 'Sharath Kumar', 'Kranthi Priyam', 'Gopi Muppiri', 'Chanakya Tejas']",Swaroop Rsj,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.
Anniyan,2005,8.3,18K,"26,567","['Vikram', 'Sada', 'Prakash Raj', 'Vivek', 'Nedumudi Venu', 'Nassar', 'Kalabhavan Mani', 'Cochin Hanifa', 'Saurabh Shukla', 'Charlie', 'Sriranjani', 'Mohan Vaidya', 'Manobala', 'Shanmugha Rajan', 'Amarasigamani', 'Shanthi Williams', 'Suryakanth', 'Viraj']",S. Shankar,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night. He uses tips from the 'Garuda Purana' as his tools to expose various antisocial elements."
Mahanati,2018,8.5,13K,"11,165","['Keerthy Suresh', 'Dulquer Salmaan', 'Samantha Ruth Prabhu', 'Vijay Deverakonda', 'Rajendra Prasad', 'Bhanupriya', 'Divyavani', 'Mohan Babu', 'Prakash Raj', 'Srinivas Avasarala', 'Irfan Ahmed Syed', 'Naga Chaitanya Akkineni', 'Manobala', 'Malavika Nair', 'Shalini Pandey', 'Radha Krishna Jagarlamudi', 'Tharun Bhascker Dhaassyam', 'Sai Tejashwini']",Nag Ashwin,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
Bangalore Days,2014,8.3,20K,"10,982","['Dulquer Salmaan', 'Nivin Pauly', 'Nazriya Nazim', 'Fahadh Faasil', 'Parvathy Thiruvothu', 'Isha Talwar', 'Nithya Menen', 'Kalpana', 'Maniyanpilla Raju', 'Praveena', 'Vijayaraghavan', 'Sijoy Varghese', 'Sajid Yahiya', 'Prathap Pothen', 'Vinaya Prasad', 'Paris Laxmi', 'Ajith', 'Bhagyalakshmi']",Anjali Menon,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore."
Satya,1998,8.3,15K,"13,430","['J.D. Chakravarthi', 'Manoj Bajpayee', 'Urmila Matondkar', 'Paresh Rawal', 'Saurabh Shukla', 'Govind Namdeo', 'Makrand Deshpande', 'Shefali Shah', 'Raju Mavani', 'Aditya Srivastav', 'Neeraj Vora', 'Rajesh Joshi', 'Saabir', 'Snehal Dabi', 'Jeeva', 'Bener Jee', 'Jyotsna Karyekar', 'Utkarsh Mazumdar']",Ram Gopal Varma,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.
Super Deluxe,2019,8.3,14K,"5,759","['Vijay Sethupathi', 'Fahadh Faasil', 'Samantha Ruth Prabhu', 'Ramya Krishnan', 'Mysskin', 'Bagavathi Perumal', 'Gayathrie', 'Ashwanth Ashokkumar', 'Jayanth', 'Mirnalini Ravi', 'Noble', 'Vijay Ram', 'Abdul Jabbar', 'Naveen', 'Manushyaputhiran', 'Rengarajan Rajagopalan', 'Kavin Jay Balaji', 'Abdool Lee']",Thiagarajan Kumararaja,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day."
Premam,2015,8.3,21K,"19,048","['Nivin Pauly', 'Sai Pallavi', 'Madonna Sebastian', 'S.V. Krishna Shankar', 'Shabareesh Varma', 'Anupama Parameswaran', 'Vinay Forrt', 'Soubin Shahir', 'Siju Wilson', 'Ananth Nag', 'Sharafudheen', 'Dinesh Prabhakar', 'Jude Anthany Joseph', 'Franko Davis', 'Justin John', 'Jayashankar', 'Rinsa Jacob', 'Vimal Kumar']",Alphonse Puthren,A young man has three opportunities to find love. Will the third time be the charm?
Ratsasan,2018,8.3,41K,"7,739","['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan', 'Munishkanth', 'Saravanan', 'Usha Elizabeth', 'Vinodhini Vaidynathan', 'Ammu Abhirami', 'Monica', 'Kaali Venkat', 'Suzane George', 'Nizhalgal Ravi', 'Vinod Sagar', 'Jai Anand', 'Gajaraj', 'Thangam Paramanandhan', 'Pasupathi']",Ram Kumar,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
Gangs of Wasseypur,2012,8.2,95K,"4,565","['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Jameel Khan', 'Piyush Mishra', 'Jaideep Ahlawat', 'Huma Qureshi', 'Zeishan Quadri', 'Vipin Sharma', 'Satyakam Anand', 'Aditya Kumar', 'Rajkummar Rao', 'Vineet Kumar Singh', 'Sankalp Acharekar', 'Aditya', 'Akshat', 'Hasrat Ali']",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Devasuram,1993,8.7,5.8K,"43,251","['Mohanlal', 'Revathi', 'Nedumudi Venu', 'Innocent', 'Napolean', 'V.K. Sriraman', 'Maniyanpilla Raju', 'Augustine', 'Chitra', 'Seeta', 'Bharathi', 'Cochin Hanifa', 'Delhi Ganesh', 'Janardanan', 'Sankaradi', 'Oduvil Unnikrishnan', 'Raghu', 'Sreenath']",I.V. Sasi,"Neelakanthan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his life."
Bhaag Milkha Bhaag,2013,8.2,67K,"18,682","['Farhan Akhtar', 'Japtej Singh', 'Divya Dutta', 'Pawan Malhotra', 'Yograj Singh', 'Art Malik', 'Sonam Kapoor', 'Saurrabh Agnihotri', 'Siddharth Bhardwaj', 'Jass Bhatia', 'Rebecca Breeds', 'Divjot Singh Chandhok', 'Chinmay Chandraunshuh', 'Chandan Gill', 'Dev Gill', 'Shveta Grover', 'Sumit Gulati', 'Sanjay Gurbaxani']",Rakeysh Omprakash Mehra,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
Andhadhun,2018,8.2,91K,"5,797","['Ayushmann Khurrana', 'Tabu', 'Radhika Apte', 'Anil Dhawan', 'Manav Vij', 'Ashwini Kalsekar', 'Chhaya Kadam', 'Zakhir Hussain', 'Rashmi Agdekar', 'Abhishek Shukla', 'Mohini Kewalramani', 'Nikitasha Kapoor', 'Saumin Patel', 'Hera Sajid', 'Abhishek Anand', 'Vishal Bajaj', 'Yogesh Chandekar', 'Rahul Gajjal']",Sriram Raghavan,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Drishyam,2015,8.2,81K,"6,515","['Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor', 'Ishita Dutta', 'Mrunal Jadhav', 'Prasanna Ketkar', 'Yogesh Sonam', 'Prathamesh Parab', 'Rishab Chadha', 'Ashish Warang', 'Anil Nagarkar', 'Tarun Shukla', 'Smita Inamdar', 'Sanjay Bhatia', 'Mahesh Rale', 'Ajit Satbhai', 'Amruta Satbhai']",Nishikant Kamat,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Aruvi,2016,8.4,13K,"32,463","['Aditi Balan', 'Padmashri Mohammad Ali', 'Pradeep Anthony', 'Arnold', 'K. Babu', 'Mohammad Ali Baig', 'Bala', 'Bharath', 'Kavitha Bharathy', 'Madan Chakravarthy', 'Karthikeyan Chinnaswamy', 'Mozammel Hoshen Chowdhury', 'Dakshana', 'Lakshmi Gopalaswamy', 'Hema', 'Hemalatha', 'Kamala', 'Kuppusami']",Arun Prabhu Purushothaman,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.
Kannathil Muthamittal,2002,8.4,8.5K,"41,225","['Madhavan', 'Simran', 'Prakash Raj', 'Nandita Das', 'J.D. Chakravarthi', 'Keerthana Parthiepan', 'Delhi Kumar', 'Pasupathy', 'Bala Singh', 'M.S. Bhaskar', 'Sashikumar', 'Easwari Rao', 'Master Suraj', 'Master Kethan', 'Keerthana', 'Kamala Krishnaswamy', 'Mu Ramaswamy', 'Shefali Chowdhury']",Mani Ratnam,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists."
Guide,1965,8.4,8.1K,"36,074","['Dev Anand', 'Waheeda Rehman', 'Leela Chitnis', 'Anwar Hussain', 'Ulhas', 'Gajanan Jagirdar', 'Rashid Khan', 'Kishore Sahu', 'Praveen Paul', 'Mridula Rani', 'Purnima', 'Sheela R.', 'Krishan Dhawan', 'Prem Sagar', 'Narbada Shankar', 'Levy Aaron', 'Mohan Jerry', 'Dilip Dutt']",Vijay Anand,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers."
Chithram,1988,8.7,5.5K,"35,937","['Mohanlal', 'Nedumudi Venu', 'Renjini', 'Poornam Vishwanathan', 'Sreenivasan', 'M.G. Soman', 'Thikkurisi Sukumaran Nair', 'Maniyanpilla Raju', 'Sukumari', 'Innocent', 'Lizy', 'Ganesh Kumar', 'Shanawas', 'Jagadish', 'Bhagyalakshmi', 'Bobby Kottarakkara', 'Unni Mary']",Priyadarshan,A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.
Shahid,2012,8.2,17K,"25,143","['Rajkummar Rao', 'Prabhleen Sandhu', 'Mohd. Zeeshan Ayyub', 'Baljinder Kaur', 'Tigmanshu Dhulia', 'Kay Kay Menon', 'Vipin Sharma', 'Shalini Vatsa', 'Vinod Rawat', 'Suvinder Pal', 'Pawan Kumar', 'Vivek Ghamande', 'Paritosh Sand', 'Prabal Panjabi', 'Yusuf Hussain', 'Mukesh Chhabra', 'Jayant Gadekar', 'Saharsh Kumar Shukla']",Hansal Mehta,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice."
Iruvar,1997,8.4,6.1K,"39,451","['Mohanlal', 'Aishwarya Rai Bachchan', 'Prakash Raj', 'Gautami', 'Tabu', 'Revathi', 'Nassar', 'Madhoo', 'Ravi', 'Rajesh', 'Delhi Ganesh', 'Sunder Rajan']",Mani Ratnam,"A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political post in the state, a rift develops between them."
Vikram Vedha,2017,8.2,39K,"2,901","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir', 'Varalaxmi Sarathkumar', 'Prem Kumar', 'Hareesh Peradi', 'Achyuth Kumar', 'Vivek Prasanna', 'Rajkumar', 'Manikandan K.', 'Gowri Lakshmi', 'Gorge Vijay', 'Kevin Augustine', 'E. Karthik', 'E. Ramdoss', 'Baby Vaishnavi', 'R. Amarendran']",Gayatri,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
Sairat,2016,8.3,13K,"26,771","['Rinku Rajguru', 'Akash Thosar', 'Arbaz Shaikh', 'Tanaji Galgunde', 'Suresh Vishwakarma', 'Suraj Pawar', 'Anuja Mule', 'Bhushan Manjule', 'Chhaya Kadam', 'Rubina Inamdar', 'Nagraj Manjule', 'Shivam More', 'Rakesh Bhavsar', 'Mithunchandra Chaudhari', 'Bhakti Chavan', 'Ramchandra Dhumal', 'Pooja Dolas', 'Shrikant Honmane']",Nagraj Manjule,"In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy."
Zindage na milegi dobara,2011,8.1,77K,"5,372","['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif', 'Kalki Koechlin', 'Ariadna Cabrol', 'Naseeruddin Shah', 'Deepti Naval', 'Supreet Bedi', 'Anisa Butt', 'Juan Jose Amador', 'Aashrita Kamath', 'Lolo Herrero', 'Barbara Holzer', 'Ravi Khemu', 'Pino Losada', 'Raaghavv Chanana', 'Anuradha Chandan']",Zoya Akhtar,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
Paan Singh Tomar,2012,8.2,36K,"19,903","['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya', 'Navneet Gairola', 'Mahesh Ginnilaal', 'Rajendra Gupta', 'Rajiv Gupta', 'Jhakkad Guru', 'Ashraf Ul Haq', 'Imran Hasnee', 'Zakhir Hussain', 'Brijendra Kala', 'Vijay Kaushik', 'Jahangir Khan', 'Swapnil kiiran Kotriwar', 'Sandeepan Nagar', 'Sitaram Panchal']",Tigmanshu Dhulia,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
Tumbbad,2018,8.2,43K,"2,986","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty', 'Deepak Damle', 'Nithish', 'Cameron Anderson', 'Dhundiraj Prabhakar Jogalekar', 'Madhav Hari Joshi', 'Harsh K.', 'Piyush Kaushik', 'Harish Khanna', 'Anika Radhakrishnan', 'Arohi Radhakrishnan', 'Mohammad Samad', 'Rudra Soni']",Rahi Anil Barve,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
Mudhalvan,1999,8.4,7.7K,"55,926","['Arjun Sarja', 'Manisha Koirala', 'Raghuvaran', 'Vadivelu', 'Cochin Hanifa', 'Laila', 'Vijay Kumar', 'Manivannan', 'Kalairani', 'Omakuchi Narasimhan', 'Sushmita Sen', 'Surya']",S. Shankar,"A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue."
Chhichhore,2019,8.2,51K,"10,312","['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar', 'Tahir Raj Bhasin', 'Naveen Polishetty', 'Tushar Pandey', 'Saharsh Kumar Shukla', 'Rohit Chauhan', 'Nalneesh Neel', 'Aashray Batra', 'Abhinav Bhattacharjee', 'Ajoy Chakraborty', 'Anud Singh Dhaka', 'Shaji Dheeraj', 'Neil Dhokte', 'Nithish', 'Amrit Kashyap']",Nitesh Tiwari,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
777 Charlie,2022,9.1,13K,514,"['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty', 'Bobby Simha', 'Danish Sait', 'Sharvari', 'Hani Yadav', 'Nikhil Yadav', 'Aniruddh Roy', 'Harini', 'Siddharth Bhat', 'Praanya P. Rao', 'Anirudh Mahesh', 'Gopalkrishna Deshpande', 'Abhijit Mahesh', 'Bengaluru Nagesh', 'Salman Ahmed']",Kiranraj K,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
Dhuruvangal Pathinaaru,2016,8.2,16K,"24,433","['Rahman', 'Prakash Raghavan', 'Sharath Kumar', 'Santhosh Krishna', 'Praveen', 'Bala Hasan', 'Vinod Varma', 'Ashwin Kumar', 'Kunal Kaushik', 'Anjana Jayaprakash', 'Yaashika Aanand', 'Delhi Ganesh', 'Karthick Naren', 'Karthikeyan Palanisamy']",Karthick Naren,"A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son."
Spadikam,1995,8.6,5.8K,"43,508","['Chippy', 'K.P.A.C. Lalitha', 'Thilakan', 'Urvashi', 'Sphadikam George', 'Rajan P. Dev', 'Mohanlal', 'V.K. Sriraman', 'Silk Smitha', 'Nedumudi Venu', 'Karamana Janardanan Nair', 'N.F. Varghese', 'Maniyanpilla Raju', 'Bahadur', 'Johny', 'Raghu', 'Indrans', 'Paravoor Bharathan']",Bhadran,A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.
Swades,2004,8.1,90K,"11,799","['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth', 'Lekh Tandon', 'Rajesh Vivek', 'Dayashankar Pandey', 'Farrukh Jaffar', 'Vishnudutt Gaur', 'Raja Awasthi', 'V.M. Badola', 'Bhim Vakani', 'Rahul Vohra', 'Rajesh Balwani', 'Bachan Pachehra', 'Shreyas Pandit', 'Peter Rawley', 'Makrand Deshpande']",Ashutosh Gowariker,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
Black,2005,8.1,35K,"21,037","['Amitabh Bachchan', 'Rani Mukerji', 'Shernaz Patel', 'Ayesha Kapoor', 'Dhritiman Chatterjee', 'Sillo Mahava', 'Chippy Gangjee', 'Mahabanoo Mody-Kotwal', 'Salome', 'Kenneth Desai', 'Arif Shah', 'Bomie E. Dotiwala', 'Jeroo Shroff', 'Bomi Kapadia', 'Kamal Adib', 'Zul Vellani', 'Shehnaz Anand', 'Polly Shroff']",Sanjay Leela Bhansali,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
Let's Go! India,2007,8.1,80K,"16,952","['Shah Rukh Khan', 'Vidya Malvade', 'Sagarika Ghatge', 'Shilpa Shukla', 'Arya Menon', 'Seema Azmi', 'Nisha Nair', 'Sandia Furtado', 'Masochon V. Zimik', 'Kimi Laldawla', 'Chitrashi Rawat', 'Shubhi Mehta', 'Anaitha Nair', 'Tanya Abrol', 'Kimberly Miranda', 'Nichola Sequeira', 'Raynia Mascerhanas', 'Javed Khan Amrohi']",Shimit Amin,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
